Pressure [MeV/fm^3],Energy Density [MeV/fm^3]
3.128571575683476689e-11,9.570545973799457969e-07
3.198006905916332762e-11,9.706361264560201362e-07
3.268944972093938053e-11,9.844103941082699334e-07
3.341425716416175962e-11,9.983801357128532773e-07
3.415491063711290318e-11,1.012548125482319432e-06
3.491185069847182675e-11,1.026917177018299105e-06
3.568554081547661336e-11,1.041490143872161907e-06
3.647646908434358445e-11,1.056269920113754721e-06
3.728515008170641262e-11,1.071259440908352473e-06
3.811201311421303760e-11,1.086461682944574736e-06
3.895643712379537735e-11,1.101879663699164301e-06
3.981853481249536319e-11,1.117516444515068488e-06
4.069871081341696447e-11,1.133375130584084715e-06
4.159738648305319286e-11,1.149458871181074420e-06
4.251500114065362522e-11,1.165770860291097575e-06
4.345201340695193111e-11,1.182314337245577205e-06
4.440890264965235457e-11,1.199092587367621391e-06
4.538617054358708094e-11,1.216108942626648873e-06
4.638434275400233946e-11,1.233366782302456102e-06
4.740397075201349861e-11,1.250869533658877366e-06
4.844563377188935054e-11,1.268620672627175212e-06
4.950994092048672436e-11,1.286623724499323353e-06
5.059753344986042736e-11,1.304882264631328836e-06
5.170908720482265497e-11,1.323399919156750358e-06
5.284531525802482700e-11,1.342180365710577494e-06
5.400697074598436172e-11,1.361227334163627956e-06
5.519393566609815701e-11,1.380544606075781264e-06
5.640547580230791276e-11,1.400136015779170401e-06
5.764212985789589857e-11,1.420005453813875569e-06
5.890447300276649449e-11,1.440156865970187842e-06
6.019310486768622174e-11,1.460594254054870110e-06
6.150865139253908255e-11,1.481321676688000153e-06
6.285176682329560996e-11,1.502343250111274905e-06
6.422313586876586987e-11,1.523663149007949577e-06
6.562347602897178639e-11,1.545285607334590125e-06
6.705354010779156509e-11,1.567214919164821831e-06
6.851411892339783826e-11,1.589455439545252279e-06
7.000604423093899450e-11,1.612011585363759331e-06
7.153019187289974889e-11,1.634887836230338681e-06
7.308748517362886054e-11,1.658088735370696727e-06
7.467889859564212656e-11,1.681618890532798801e-06
7.630546167650060664e-11,1.705482974906565901e-06
7.796816275563378258e-11,1.729685727918911670e-06
7.966576154654340497e-11,1.754231953188762612e-06
8.139810657174169804e-11,1.779126524067961597e-06
8.316597907799852496e-11,1.804374384360880370e-06
8.497019360076752053e-11,1.829980548064937789e-06
8.681160052499549663e-11,1.855950100369937125e-06
8.869108885406919186e-11,1.882288198671846976e-06
9.060958920246443578e-11,1.909000073601251522e-06
9.256807702874173919e-11,1.936091030066687167e-06
9.456757612668468762e-11,1.963566448313123496e-06
9.660916239360129031e-11,1.991431784995795013e-06
9.869396789611724345e-11,2.019692574269649837e-06
1.008231852551807121e-10,2.048354428894660780e-06
1.029980723734805946e-10,2.077423041357232172e-06
1.052199575300603421e-10,2.106904185007994231e-06
1.074902448685897721e-10,2.136803715216214106e-06
1.098104203075493999e-10,2.167127570541125546e-06
1.121815518658754407e-10,2.197881773173683269e-06
1.146013668633360928e-10,2.229072425805820344e-06
1.170702091359047928e-10,2.260705721621947614e-06
1.195891761817137316e-10,2.292787942798216722e-06
1.221594131973086437e-10,2.325325460709553597e-06
1.247821168059446256e-10,2.358324737199854660e-06
1.274585390901296853e-10,2.391792325870563650e-06
1.301899919511785985e-10,2.425734873387914512e-06
1.329778518201202345e-10,2.460159120809139352e-06
1.358235647459823066e-10,2.495071904927930720e-06
1.387286518892702873e-10,2.530480159639471209e-06
1.416947154503692300e-10,2.566390917325338670e-06
1.447234450646292082e-10,2.602811310258602585e-06
1.478166246980652954e-10,2.639748572029443624e-06
1.509761400799093434e-10,2.677210038991621215e-06
1.542039867107108246e-10,2.715203151730133039e-06
1.575022784873001983e-10,2.753735456550416271e-06
